category_level1,category_level2,paper_count,sample_titles
Vision-Language & Multimodal,VLM/MLLM Reasoning & Agents,566,RetouchIQ: MLLM Agents for Instruction-Based Image Retouching with Generalist Reward | GraphVLM: Benchmarking Vision Language Models for Multimodal Graph Learning | MovieRecapsQA: A Multimodal Open-Ended Video Question-Answering Benchmark
Generation & Editing,Image/Video Generation & Diffusion,518,"Training-free, Perceptually Consistent Low-Resolution Previews with High-Resolution Image for Efficient Workflows of Diffusion Models | Erasing Thousands of Concepts: Towards Scalable and Practical Concept Erasure for Text-to-Image Diffusion Models | Physical Simulator In-the-Loop Video Generation"
3D Vision & Geometry,Reconstruction & 3D Scene Representation,285,DirectFisheye-GS: Enabling Native Fisheye Input in Gaussian Splatting with Cross-View Joint Optimization | REArtGS++: Generalizable Articulation Reconstruction with Temporal Geometry Constraint via Planar Gaussian Splatting | LongStream: Long-Sequence Streaming Autoregressive Visual Geometry
Video & Motion,Video Understanding & Temporal Reasoning,173,APPO: Attention-guided Perception Policy Optimization for Video Reasoning | First Frame Is the Place to Go for Video Content Customization | SEASON: Mitigating Temporal Hallucination in Video Large Language Models via Self-Diagnostic Contrastive Decoding
"Learning, Efficiency & Trustworthiness","Efficiency, Distillation, Pruning & NAS",167,"GR-Gauge: Cost-efficient Training Configuration By Gauging the Gradient Redundancy | DocPrune: Efficient Document Question Answering via Background, Question, and Comprehension-aware Token Pruning | HyperNAS: Enhancing Architecture Representation for NAS Predictor via Hypernetwork"
"Learning, Efficiency & Trustworthiness","Adaptation, Continual & Federated Learning",156,Continual Distillation of Teachers from Different Domains | Quantized Residuals to Continuous Prompts for Few-Shot Class Incremental Learning in Vision-Language Models | SPEGC: Continual Test-Time Adaptation via Semantic-Prompt-Enhanced Graph Clustering for Medical Image Segmentation
Recognition & Segmentation,"Classification, Retrieval & Fine-grained Recognition",150,What Is the Optimal Ranking Score Between Precision and Recall? We Can Always Find It and It Is Rarely F1 | Learning What Helps: Task-Aligned Context Selection for Vision Tasks | PRISM: Prototype-based Reasoning with Inter-modal Semantic Mining for Interpretable Image Recognition
Low-Level Vision & Imaging,"Restoration, Enhancement & Super-Resolution",137,"White-Balance First, Adjust Later: Cross-Camera Color Constancy via Vision-Language Evaluation | Polarization State Tracing for Reflection Removal and Color-Consistent Reconstruction | Rectifying Latent Space for Generative Single-Image Reflection Removal"
"Learning, Efficiency & Trustworthiness","Robustness, Safety, Privacy & Security",135,Reallocating Attention Across Layers to Reduce Multimodal Hallucination | POUR: A Provably Optimal Method for Unlearning Representation via Neural Collapse | GuardTrace-VL: Detecting Unsafe Multimodel Reasoning via Iterative Safety Supervision
3D Vision & Geometry,Neural Rendering & Gaussian Splatting,130,HeroGS: Hierarchical Guidance for Robust 3D Gaussian Splatting under Sparse Views | PhysIR-Splat: Physically Consistent Thermal Infrared Radiative Transfer in 3D Gaussian Splatting | RT-Splatting: Joint Reflection-Transmission Modeling with Gaussian Splatting
Specialized Domains,Medical & Biomedical Vision,127,AD-GBC: Anisotropic Granular-Ball Skip-Connection Refiner for UNet-Based Medical Image Segmentation | Act Like a Pathologist: Tissue-Aware Whole Slide Image Reasoning | Learning Generalizable 3D Medical Image Representations from Mask-Guided Self-Supervision
"Learning, Efficiency & Trustworthiness",Self-/Weak-/Semi-Supervised Learning,124,GT-SVJ: Generative-Transformer-Based Self-Supervised Video Judge For Efficient Video Reward Modeling | One Patch to Caption Them All: A Unified Zero-Shot Captioning Framework | The Surprising Effectiveness of Noise Pretraining for Implicit Neural Representations
Recognition & Segmentation,"Segmentation, Parsing & Matting",118,Beyond Euclidean Gossip: KL-Barycentric Consensus on Heterogeneous and Imbalanced Images | OSA: Echocardiography Video Segmentation via Orthogonalized State Update and Anatomical Prior-aware Feature Enhancement | The Missing Point in Vision Transformers for Universal Image Segmentation
Recognition & Segmentation,"Detection, Open-Vocabulary & Counting",115,Vocabulary Scaling Law: Tuning Open-vocabulary Predictors for Their Openness | SRGCD: Stability-Driven Region Growth Framework for 3D Change Detection | Does YOLO Really Need to See Every Training Image in Every Epoch?
3D Vision & Geometry,"Depth, Pose, SLAM & Localization",107,HamiPose: Hamiltonian Optimization for Unsupervised Domain Adaptive Pose Estimation | Affine Perspective-Three-Point Problem | LiteSense: Lifting Lightweight ToF with RGB for High-Resolution Metric Depth Estimation
Generation & Editing,"Editing, Personalization & Inpainting",102,CompBench: Benchmarking Complex Instruction-guided Image Editing | A Training-Free Style-Personalization via SVD-Based Feature Decomposition | Cross-Modal Emotion Transfer for Emotion Editing in Talking Face Video
"Embodied, Driving & Robotics","Robotics, Manipulation & Navigation",100,Probing and Bridging Geometry-Interaction Cues for Affordance Reasoning in Vision Foundation Models | GeoDexGrasp: Geometry-aware Generation for Data-efficient and Physics-plausible Dexterous Grasping | Beyond Success: Refining Elegant Robot Manipulation from Mixed-Quality Data via Just-in-Time Intervention
"Embodied, Driving & Robotics","Autonomous Driving, BEV & Mapping",94,AeroAgent: A Vision-Physics-Decision Framework for Aerodynamic Vehicle Design | SGDrive: Scene-to-Goal Hierarchical World Cognition for Autonomous Driving | The Blind Spot of Adaptation: Quantifying and Mitigating Forgetting in Fine-tuned Driving Models
Vision-Language & Multimodal,"Grounding, Retrieval & Referring",87,Efficient and High-Fidelity Omni Modality Retrieval | Skyra: AI-Generated Video Detection via Grounded Artifact Reasoning | EG-3DVG: Expression and Geometry Aware Grounding Decoder for 3D Visual Grounding
Vision-Language & Multimodal,Cross-modal Alignment & Fusion,80,The Consistency Critic: Correcting Inconsistencies in Generated Images via Reference-Guided Attentive Alignment | Tackling Alignment Ambiguity in Person Retrieval through Conversational Attribute Mining | JRM: Joint Reconstruction Model for Multiple Objects without Alignment
Video & Motion,"Tracking, Flow & Correspondence",79,An Efficient Token Compression Framework for Visual Object Tracking | Generalized-CVO: Fast and Correspondence-Free Local Point Cloud Registration with Second Order Riemannian Optimization | Rethinking Occlusion Modeling for UAV Tracking
Specialized Domains,Remote Sensing & Geospatial Vision,70,AVION: Aerial Vision-Language Instruction from Offline Teacher to Prompt-Tuned Network | Beyond Matching to Tiles: Bridging Unaligned Aerial and Satellite Views for Vision-Only UAV Navigation | HTNav: A Hybrid Navigation Framework with Tiered Structure for Urban Aerial Vision-and-Language Navigation
Awards & Nominations,Award Candidates,69,MAMMA: Markerless Accurate Multi-person Motion Acquisition | SAM 3D Body: Robust Full-Body Human Mesh Recovery | Black-box Membership Inference Attacks on the Pre-training Data of Image-generation Models
Generation & Editing,"Human, Avatar & Motion Generation",67,PhysHead: Simulation-Ready Gaussian Head Avatars | Multi-level Causal LLM-based Text-to-Motion Generation with Human Alignment | BiMotion: B-spline Motion for Text-guided Dynamic 3D Character Generation
Vision-Language & Multimodal,"Documents, Charts & Structured Understanding",48,Twin-T & TwintVQA: A Reliable Structure-Detail Separating VLM and a Comprehensive Benchmark for Chart and Table Tasks | DREAM: Document Recognition with Explicit Adaptive Memory | Visual Document Understanding and Reasoning: A Multi-Agent Collaboration Framework with Agent-Wise Adaptive Test-Time Scaling
Video & Motion,"Pose, Motion & Action Analysis",47,Ultra Diffusion Poser: Diffusion-Based Human Motion Tracking from Sparse Inertial Sensors and Ranging-based Between-sensor Distances | MultiAnimate: Pose-Guided Image Animation Made Extensible | Globally Optimal Pose from Orthographic Silhouettes
Low-Level Vision & Imaging,Computational Imaging & Sensors,44,"Spk2VidNet: A Hierarchical Recurrent Architecture for High-Fidelity Video Reconstruction from Long Spike-Camera Streams | One-Shot Flow, Any-Time Frame: A Bidirectional Warping Framework for Event-Based Video Frame Interpolation | LRDUN: A Low-Rank Deep Unfolding Network for Efficient Spectral Compressive Imaging"
"Embodied, Driving & Robotics","Embodied Agents, Policy & Control",42,PanoEnv: Exploring 3D Spatial Intelligence in Panoramic Environments with Reinforcement Learning | Unlocking Token Rewards via Training-Free Reward Attribution | Exploring Spatial Intelligence from a Generative Perspective
Generation & Editing,"3D, Scene Generation & World Models",41,Text-Image Conditioned 3D Generation | Learning Hierarchical Hyperbolic Mixture Model for Part-aware 3D Generation | Planning in 8 Tokens: A Compact Discrete Tokenizer for Latent World Model
Low-Level Vision & Imaging,Compression & Quality Assessment,40,GauMVC: Generative Decoupled Gaussian Representation for Human-centric Multi-view Video Compression | AstraNav-Memory: Contexts Compression for Long Memory | Neural Dynamic GI: Random-Access Neural Compression for Temporal Lightmaps in Dynamic Lighting Environments
Specialized Domains,"Scientific, Industrial & Physical Vision",39,Neural Field-Based 3D Surface Reconstruction of Microstructures from Multi-Detector Signals in Scanning Electron Microscopy | Global Information Thresholding for Sufficient and Necessary Circuits | WonderZoom: Multi-Scale 3D World Generation
3D Vision & Geometry,Point Clouds & 3D Detection,27,MonoSAOD: Monocular 3D Object Detection with Sparsely Annotated Label | DENALI: A Dataset Enabling Non-Line-of-Sight Spatial Reasoning with Low-Cost LiDARs | U4D: Uncertainty-Aware 4D World Modeling from LiDAR Sequences
Awards & Nominations,Award Winners,5,SAM 3D: 3Dfy Anything in Images | Efficiently Reconstructing Dynamic Scenes One D4RT at a Time | Native and Compact Structured Latents for 3D Generation
